tip1	tip2	distance
Erwinia_teleogrylli-_-KF500917--_SCU-B244_T	g__2943317	2e-6
g__551	g__2100764	2e-6
Erwinia_amylovora-_-AJ233410--_DSM_30165_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	0.018099999999999998
Erwinia_piriflorinigrans-_-GQ405202--_CECT_7348_T	Erwinia_pyrifoliae-_-AB242880--_DSM12163_T	0.027299999999999998
Erwinia_uzenensis-_-AB546198--_YPPS951_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	0.02367
Mixta_tenebrionis-_-MK722097--_BIT-26_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	0.044739999999999995
Erwinia_aphidicola-_-FN547376--_LMG_24877_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	0.005569999999999999
Erwinia_rhapontici-_-AJ233417--_DSM_4484_T	Erwinia_aphidicola-_-FN547376--_LMG_24877_T	0.00765
Erwinia_billingiae-_-Y13249--_LMG_2613_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	0.020749999999999998
Erwinia_endophytica-_-LN624761--_BSTT30_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	0.02236
Pantoea_eucrina-_-EU216736--_LMG_2781_T	Pantoea_wallisii-_-JF295057--_LMG_26277_T	0.0241
Pantoea_wallisii-_-JF295057--_LMG_26277_T	g__551	0.017881
Pantoea_wallisii-_-JF295057--_LMG_26277_T	g__2100764	0.017881
Pantoea_dispersa-_-DQ504305--_LMG2603_T	g__551	0.018171
Pantoea_dispersa-_-DQ504305--_LMG2603_T	g__2100764	0.018171
Pantoea_coffeiphila-_-KJ427829--_Ca04_T	g__551	0.009040999999999999
Pantoea_coffeiphila-_-KJ427829--_Ca04_T	g__2100764	0.009040999999999999
Erwinia_mallotivora-_-AJ233414--_DSM_4565_T	Erwinia_psidii-_-JQ809696--_LMG_7039_T	0.02499
Erwinia_psidii-_-JQ809696--_LMG_7039_T	g__551	0.019561000000000002
Erwinia_psidii-_-JQ809696--_LMG_7039_T	g__2100764	0.019561000000000002
Erwinia_tracheiphila-_-Y13250--_LMG_2906-T_T	g__551	0.038391
Erwinia_tracheiphila-_-Y13250--_LMG_2906-T_T	g__2100764	0.038391
Mixta_intestinalis-_-KP326384--_29Y89B_T	Mixta_theicola-_-AB907776--_QC88-366_T	0.01944
Erwinia_oleae-_-GU810925--_DAPP-PG_531_T	Mixta_theicola-_-AB907776--_QC88-366_T	0.046610000000000006
g__1780190	Izhakiella_australiensis-_-KY744694--_D4N98_T	0.014561
Izhakiella_capsodis-_-KF436763--_N6PO6_T	g__1780190	0.020821000000000003
Duffyella_gerundensis-_-FJ611848--_EM595_T	g__3026546	2e-6
Mixta_calida-_-GQ367478--_1400/07_T	Mixta_gaviniae-_-GQ367483--_A18/07_T	0.009720000000000001
Pantoea_piersonii-_-MG923525--_IIIF1SW-P2_T	Erwinia_phyllosphaerae-_-MZ457073--_CMYE1_T	0.02044
Winslowiella_iniecta-_-KM870781--_B120_T	Winslowiella_toletana-_-FR870447--_CECT_5263_T	0.03059
Winslowiella_toletana-_-FR870447--_CECT_5263_T	Winslowiella_arboricola-_-OP422451--_BAC15a-03bT	0.012371
Winslowiella_toletana-_-FR870447--_CECT_5263_T	g__2997349	0.012371
Winslowiella_arboricola-_-OP422451--_BAC15a-03bT	g__2997349	2e-6
Erwinia_typographi-_-GU166291--_Y1_T	Winslowiella_iniecta-_-KM870781--_B120_T	0.04016
Pantoea_cypripedii-_-AJ233413--_DSM_3873_T	g__551	0.013921
Pantoea_cypripedii-_-AJ233413--_DSM_3873_T	g__2100764	0.013921
Enterobacter_hormaechei_subsp._hormaechei-_-AJ508302--_CIP_103441_T	Enterobacter_quasihormaechei-_-MK567958--_WCHEs120003_T	0.01264
Enterobacter_quasihormaechei-_-MK567958--_WCHEs120003_T	Enterobacter_hormaechei_subsp._xiangfangensis-_-HF679035--_10-17_T	0.00209
g__1330546	Enterobacter_hormaechei_subsp._xiangfangensis-_-HF679035--_10-17_T	0.013361
Pluralibacter_gergoviae-_-AB004748--_JCM1234_T	g__1330546	0.022251
Pluralibacter_pyrinus-_-AJ010486--_KCTC2520_T	g__1330546	0.019501
Enterobacter_hormaechei_subsp._hoffmannii-_-CP017186--_DSM_14563_n_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	0.00418
Enterobacter_hormaechei_subsp._oharae-_-AJ853889--_EN-314_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	0.00209
Enterobacter_hormaechei_subsp._xiangfangensis-_-CP017183--_LMG27195_n_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	0.00279
Pseudescherichia_vulneris-_-AB681776--_NBRC_102420_T	g__2055880	2e-6
Enterobacter_nematophilus-_-OP818089--_E-TC7_/type_materialtype_strain_of_Enterobacter_nematophilusT	Enterobacter_bugandensis-_-HQ122932--_247BMC_T	0.0021
Enterobacter_cancerogenus-_-Z96078--_LMG_2693_T	Enterobacter_dykesii-_-VTTY00000000--_E1_T	0.00417
Enterobacter_huaxiensis-_-MK049964--_WCHEn090008_T	Enterobacter_cancerogenus-_-Z96078--_LMG_2693_T	0.00713
Leclercia_adecarboxylata-_-AB681872--_NBRC_102595_T	Enterobacter_ludwigii-_-AJ853891--_EN-119_=_DSMZ_16688_=_CIP_108491_T	0.00695
Enterobacter_wuhouensis-_-MK567957--_WCHEs120002_T	Enterobacter_ludwigii-_-AJ853891--_EN-119_=_DSMZ_16688_=_CIP_108491_T	0.00905
Enterobacter_chuandaensis-_-MK049966--_WCHEn090028_T	Enterobacter_wuhouensis-_-MK567957--_WCHEs120002_T	0.00974
Enterobacter_quasiroggenkampii-_-LFDQ02000000--_WCHECL1060_T	Enterobacter_mori-_-EU721605--_R18-2_T	0.01157
Enterobacter_mori-_-EU721605--_R18-2_T	Enterobacter_quasimori-_-RXRX01000000--_WCHEM090044_T	0.01017
g__158483	Cedecea_lapagei-_-KY797643--_DSM_4587_T	8.410000000000001e-4
Cedecea_neteri-_-AB086230--_GTC1717_T	g__158483	0.007131
Cedecea_davisae-_-ATDT01000040--_DSM_4568_T	g__158483	0.009720999999999999
Dryocola_clanedunensis-_-OM971055--_H11S18_/type_materialtype_strain_of_Dryocola_clanedunensisT	g__158483	0.008931
Enterobacter_soli-_-GU814270--_LF7_T	g__158483	0.012561
Enterobacter_vonholyi-_-VTUC01000000--_HHU_13199_E13_T	Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	0.01322
Enterobacter_asburiae-_-AB004744--_JCM6051_T	Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	0.00973
Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	0.00904
Enterobacter_sichuanensis-_-MG832788--_WCHECL1597_T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	0.00486
Silvania_confinis-_-OM987254--_H4N4T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	0.00869
Leclercia_tamurae-_-OM987255--_H6S3T	g__579	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__3021684	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__3016631	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__83654	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__570	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__547	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__544	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__53335	0.009411
Citrobacter_braakii-_-AF025368--_CDC_80-58_T	Citrobacter_murliniae-_-AF025369--_CDC_2970-59_T	0.00347
Citrobacter_freundii-_-AJ233408--_DSM_30039_T	Citrobacter_cronae-_-MN548424--_Tue2_1_T	0.007639999999999999
Citrobacter_europaeus-_-LT615140--_97/79_-=CIP_106467-_T	Citrobacter_portucalensis-_-MVFY01000035--_A60_T	0.01111
Citrobacter_portucalensis-_-MVFY01000035--_A60_T	Citrobacter_cronae-_-MN548424--_Tue2_1_T	0.008339999999999998
Citrobacter_meridianamericanus-_-ON890426--_BR102T	Citrobacter_portucalensis-_-MVFY01000035--_A60_T	0.00903
Citrobacter_werkmanii-_-AF025373--_CDC_0876-58_T	Citrobacter_cronae-_-MN548424--_Tue2_1_T	0.0062499999999999995
Citrobacter_gillenii-_-AF025367--_CDC_4693-86_T	Citrobacter_pasteurii-_-KP057683--_CIP_55.13_T	0.00626
Yokenella_regensburgei-_-JN175339--_CIP_105435_T	g__158876	2e-6
Klebsiella_pasteurii-_-MN091366--_SPARK836C1_T	Klebsiella_michiganensis-_-JQ070300--_W14_T	2e-5
Klebsiella_grimontii-_-AJ871861--_SB73_T	Klebsiella_pasteurii-_-MN091366--_SPARK836C1_T	0.0021
Klebsiella_grimontii-_-AJ871861--_SB73_T	Klebsiella_michiganensis-_-JQ070300--_W14_T	0.0021
Klebsiella_spallanzanii-_-MN091365--_SB6411_SPARK775C1T_Ko3_T	Klebsiella_grimontii-_-AJ871861--_SB73_T	0.00418
Klebsiella_oxytoca-_-AF129440--_ATCC_13182T_T	Klebsiella_spallanzanii-_-MN091365--_SB6411_SPARK775C1T_Ko3_T	0.011120000000000001
Enterobacter_kobei-_-AJ508301--_CIP_105566_T	Klebsiella_huaxiensis-_-MH179329--_WCHKl090001_T	0.02112
g__1330545	g__160674	0.002792
Klebsiella_aerogenes-_-CP002824--_KCTC_2190_T	g__160674	0.006261
Raoultella_terrigena-_-AB680714--_NBRC_14941_T	g__160674	0.007651
Klebsiella_electrica-_-AB762091--_1GB_T	Raoultella_ornithinolytica-_-U78182--_CIP_103364_T	0.0062900000000000005
Raoultella_ornithinolytica-_-U78182--_CIP_103364_T	Raoultella_planticola-_-AB680712--_NBRC_14939_T	0.0062699999999999995
Leclercia_pneumoniae-_-OK161083--_49125_T	Huaxiibacter_chinensis-_-OL712205--_155047T	0.006411
Leclercia_pneumoniae-_-OK161083--_49125_T	g__2976153	0.006411
Huaxiibacter_chinensis-_-OL712205--_155047T	g__2976153	2e-6
Lelliottia_amnigena-_-AB004749--_JCM1237_T	g__1330545	0.009740999999999998
Lelliottia_nimipressuralis-_-Z96077--_LMG_10245-T_T	Lelliottia_jeotgali-_-KX709881--_PFL01_T	0.005569999999999999
Curtobacterium_plantarum-_-JN175348--_CIP_108988_T	Pantoea_agglomerans-_-AJ233423--_DSM_3493_T	0.00349
Pantoea_conspicua-_-EU216737--_LMG_24534_T	Pantoea_vagans-_-EF688012--_LMG_24199_T	0.00515
Pantoea_eucalypti-_-EF688009--_LMG_24197_T	Pantoea_brenneri-_-EU216735--_LMG_5343_T	0.015880000000000002
Pantoea_brenneri-_-EU216735--_LMG_5343_T	Pantoea_vagans-_-EF688012--_LMG_24199_T	0.014340000000000002
Pantoea_allii-_-AY530795--_BD_390_T	Pantoea_ananatis-_-U80196--_ATCC_33244_T	0.00972
Pantoea_ananatis-_-U80196--_ATCC_33244_T	Flavobacterium_acidificum-_-JX986959--_LMG_8364_T	0.00212
Pantoea_anthophila-_-EF688010--_LMG_2558_T	Pantoea_deleyi-_-EF688011--_LMG_24200_T	0.0086
Pantoea_stewartii_subsp._stewartii-_-U80208--_ATCC_8199_T	Pantoea_stewartii_subsp._indologenes-_-Y13251--_LMG_2632-T_T	0.01114
Pantoea_septica-_-EU216734--_LMG_5345_T	Pantoea_leporis-_-ON166845--_R_/type_materialtype_strain_of_Pantoea_leporisT	0.023299999999999998
Pantoea_leporis-_-ON166845--_R_/type_materialtype_strain_of_Pantoea_leporisT	Pantoea_rodasii-_-MLFP01000054--_LMG_26273_w_T	0.01924
Pantoea_rodasii-_-MLFP01000054--_LMG_26273_w_T	Pantoea_rwandensis-_-JF295055--_LMG_26275_T	0.00879
g__1356488	Rosenbergiella_epipactidis_subsp._japonica-_-MT341879--_K24T	1.1000000000000001e-5
Rosenbergiella_collisarenosi-_-KF876186--_8.8A_T	Rosenbergiella_epipactidis_subsp._epipactidis-_-KF876184--_2.1A_T	0.0014
Rosenbergiella_nectarea_subsp._nectarea-_-HQ284827--_8N4_T	Rosenbergiella_epipactidis_subsp._epipactidis-_-KF876184--_2.1A_T	0.00278
Rosenbergiella_australiborealis-_-KF876187--_CdVSA_20.1_T	Rosenbergiella_epipactidis_subsp._epipactidis-_-KF876184--_2.1A_T	0.006259999999999999
Rosenbergiella_metrosideri-_-MT341875--_JB07T	Rosenbergiella_gaditana-_-MT341811--_S61T	0.0014
Rosenbergiella_nectarea_subsp._apis-_-MT341812--_B1AT	Rosenbergiella_epipactidis_subsp._californiensis-_-MT341873--_FR72T	2e-5
Phaseolibacter_flectens-_-AB021400--_ATCC_12775_T	g__1297562	2e-6
g__82986	Tatumella_saanichensis-_-EU215774--_NML_06-3099_T	0.008691
Tatumella_citrea-_-DQ838096--_JCM_8882_T	g__82986	0.032821
Tatumella_morbirosei-_-JPKR02000005--_LMG_23360_T	g__82986	0.027221000000000002
Tatumella_punctata-_-FJ756351--_DSM_13700_T	g__82986	0.011111
Tatumella_ptyseos-_-AJ233437--_DSM_5000_T	Tatumella_terrea-_-FJ756353--_DSM_13701_T	0.01111
Kluyvera_cryocrescens-_-AF310218--_ATCC33435_T	Kluyvera_intermedia-_-AF310217--_ATCC33110_T	0.007670000000000001
g__2726810	Scandinavium_hiltneri-_-OM987267--_H11S7T	0.0013909999999999999
g__82976	Buttiauxella_izardii-_-AJ233404--_DSM_9397_T	0.003491
Buttiauxella_warmboldiae-_-AJ233406--_DSM_9404_T	Buttiauxella_noackiae-_-AJ233405--_DSM_9401_T	0.005569999999999999
Buttiauxella_noackiae-_-AJ233405--_DSM_9401_T	Buttiauxella_izardii-_-AJ233404--_DSM_9397_T	0.00348
Buttiauxella_gaviniae-_-AJ233403--_DSM_9393_T	Buttiauxella_noackiae-_-AJ233405--_DSM_9401_T	0.00488
Dryocola_boscaweniae-_-OM971056--_H6W4_/type_materialtype_strain_of_Dryocola_boscaweniaeT	Buttiauxella_izardii-_-AJ233404--_DSM_9397_T	0.01483
Buttiauxella_agrestis-_-AJ233400--_DSM_4586_T	Buttiauxella_brennerae-_-AJ233401--_DSM_9396_T	0.00417
Buttiauxella_ferragutiae-_-AJ233402--_DSM_9390_T	g__82976	0.004871
Scandinavium_manionii-_-OM987268--_H17S15T	g__2726810	0.009751
Scandinavium_goeteborgense-_-MK558235--_CCUG_66741_T	g__2726810	0.002791
Scandinavium_tedordense-_-OM987269--_TWS1aT	Scandinavium_goeteborgense-_-MK558235--_CCUG_66741_T	0.01251
Kluyvera_ascorbata-_-JMPL01000225--_ATCC_33433_T	Kluyvera_sichuanensis-_-MT437278--_SCKS090646_T	0.00849
Kluyvera_georgiana-_-AF047186--_ATCC_51603_T	Kluyvera_ascorbata-_-JMPL01000225--_ATCC_33433_T	0.01893
g__1504576	Pseudocitrobacter_vendiensis-_-MK170368--_CPO20170097_T	1.1000000000000001e-5
Pseudocitrobacter_faecalis-_-KF057941--_25_CIT_T	g__1504576	0.009071
Pseudocitrobacter_corydidari-_-MZ182277--_G163CMT	Pseudocitrobacter_faecalis-_-KF057941--_25_CIT_T	0.00984
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__579	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__3021684	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__3016631	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__83654	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__570	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__547	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__544	0.005771
Silvania_hatchlandensis-_-OM987253--_H19S6T	g__53335	0.005771
Serratia_ureilytica-_-AJ854062--_NiVa_51_T	Serratia_bockelmannii-_-VOUX01000001--_S3_T	0.01184
Serratia_ureilytica-_-AJ854062--_NiVa_51_T	Serratia_nevei-_-VTUT01000000--_S15_T	0.01184
Serratia_marcescens-_-AB061685--_KRED_T	Serratia_nematodiphila-_-EU036987--_DZ0503SBS1_T	0.00138
Serratia_bockelmannii-_-VOUX01000001--_S3_T	Serratia_nevei-_-VTUT01000000--_S15_T	2e-5
g__71655	g__204037	0.0042120000000000005
g__122277	g__71655	0.005632
Pectobacterium_wasabiae-_-AKVS01000027--_CFBP_3304_T	Pectobacterium_parmentieri-_-CP015749--_RNS_08-42-1A_T	0.01112
Pectobacterium_atrosepticum-_-JN600332--_CFBP_1526_T	Pectobacterium_peruviense-_-MF589613--_IFB5232_source__________/type_materialtype_strain_of_Pectobacterium_peruvienseT	0.01192
Pectobacterium_betavasculorum-_-JN600328--_CFBP_2122_T	Pectobacterium_wasabiae-_-AKVS01000027--_CFBP_3304_T	0.015349999999999999
Brenneria_alni-_-AJ233409--_DSM_11811_T	Brenneria_izbisi-_-MW485945--_KBI423T	0.04209
Brenneria_populi_subsp._brevivirga-_-KX987135--_D8-10-4-5_T	Brenneria_populi_subsp._populi-_-KJ632518--_D9-5_T	0.027139999999999997
Brenneria_nigrifluens-_-AJ233415--_DSM_30175_T	Brenneria_tiliae-_-OM505019--_WC1b.1T	0.00714
Brenneria_corticis-_-MH206610--_gBX10-1-2_T	Brenneria_tiliae-_-OM505019--_WC1b.1T	0.02384
Brenneria_roseae_subsp._americana-_-KF308292--_FRB_223_T	Brenneria_corticis-_-MH206610--_gBX10-1-2_T	0.03053
Samsonia_erythrinae-_-AF273037--_CFBP_5236_LTP__T	g__160433	2e-6
Pectobacterium_punjabense-_-MH249622--_SS95_T	Pectobacterium_polonicum-_-MK240326--_DPMP315_T	0.0091
Pectobacterium_odoriferum-_-AJ223407--_LMG_17566-T_T	Pectobacterium_versatile-_-RMBU01000000--_CFBP_6051_T	0.01528
Pectobacterium_versatile-_-RMBU01000000--_CFBP_6051_T	Pectobacterium_carotovorum-_-AJ233411--_DSM_30168_T	0.011139999999999999
Pectobacterium_brasiliense-_-JF926716--_212_T	Pectobacterium_parvum-_-KC337335--_73a_G5847_Pcc_s0421_T	0.0146
Pectobacterium_parvum-_-KC337335--_73a_G5847_Pcc_s0421_T	Pectobacterium_polaris-_-MG022082--_NIBIO1392_T	0.00209
