tip1	tip2	taxid1	taxid2	distance
Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	Klebsiella_variicola_subsp._tropica-_-MK040621--_SB5531_T	573	573	0.00348
Enterobacter_cloacae_subsp._cloacae-_-AJ251469--_ATCC13047T_T	Enterobacter_cloacae-_-AJ417484--_ATCC_13047_T	550	550	2e-5
Enterobacter_cloacae-_-AJ417484--_ATCC_13047_T	Enterobacter_cloacae_subsp._cloacae-_-AJ251469--_ATCC13047T_T	550	550	2e-5
Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	Enterobacter_cloacae_subsp._cloacae-_-AJ251469--_ATCC13047T_T	69219	550	0.00418
Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	Enterobacter_cloacae-_-AJ417484--_ATCC_13047_T	69219	550	0.00418
Enterobacter_siamensis-_-HQ888848--_C2361_T	Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	990143	69219	0.026
Kosakonia_radicincitans-_-CP018016--_DSM_16656_T	Kosakonia_oryzae-_-EF488759--_Ola_51_T	1177180	497725	0.00556
Kosakonia_oryzae-_-EF488759--_Ola_51_T	Kosakonia_radicincitans-_-CP018016--_DSM_16656_T	497725	1177180	0.00556
Kosakonia_oryziphila-_-JF795013--_REICA_142_T	Kosakonia_arachidis-_-EU672801--_Ah-143_T	1005667	551989	0.0107
Kosakonia_arachidis-_-EU672801--_Ah-143_T	Kosakonia_oryziphila-_-JF795013--_REICA_142_T	551989	1005667	0.0107
Kosakonia_sacchari-_-JQ001784--_SP1_T	Kosakonia_pseudosacchari-_-KP345901--_JM-387_T	1158459	1646340	0.0098
Kosakonia_pseudosacchari-_-KP345901--_JM-387_T	Kosakonia_sacchari-_-JQ001784--_SP1_T	1646340	1158459	0.0098
Kosakonia_oryzendophytica-_-JF795011--_REICA_082_T	g__1330547	1005665	1330547	0.011961
Kosakonia_quasisacchari-_-MK567956--_WCHEs120001_T	g__1330547	2529380	1330547	0.017391
g__447792	Phytobacter_ursingii-_-FJ611881--_ATCC_27989_T	447792	1972431	0.007071
g__1649298	Siccibacter_colletis-_-LK054215--_1383_T	1649298	1505757	0.012851
Siccibacter_turicensis-_-DQ273681--_LMG_23730_T	g__1649298	1388748	1649298	0.016831
Siccibacter_colletis-_-LK054215--_1383_T	g__1649298	1505757	1649298	0.012851
Phytobacter_massiliensis-_-JN657217--_JC163_T	Phytobacter_palmae-_-KX893413--_S29_T	1095768	1855371	0.01879999999999999
Phytobacter_palmae-_-KX893413--_S29_T	g__447792	1855371	447792	0.014611
Phytobacter_ursingii-_-FJ611881--_ATCC_27989_T	g__447792	1972431	447792	0.007071
Phytobacter_diazotrophicus-_-DQ821583--_LS_8_T	g__447792	395631	447792	0.018231
Citrobacter_youngae-_-AB273741--_GTC_1314_T	g__1330547	133448	1330547	0.017431
Enterobacter_oligotrophicus-_-LC368255--_CCA6_T	g__1330547	2478464	1330547	0.024001
g__413496	Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	413496	1159491	0.01180099999999999
Cronobacter_dublinensis_subsp._dublinensis-_-MF118666--_DSM_18705_T	Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	413498	1159560	0.02223
Cronobacter_dublinensis_subsp._lactaridi-_-EF059838--_E464_T	Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	1159496	1159560	7.4e-4
Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	Cronobacter_dublinensis_subsp._lactaridi-_-EF059838--_E464_T	1159560	1159496	7.4e-4
Cronobacter_universalis-_-EF059877--_E797-_NCTC_9529_T	Cronobacter_turicensis-_-EF059891--_z3032_T	1074000	693216	0.00488
Cronobacter_turicensis-_-EF059891--_z3032_T	Cronobacter_universalis-_-EF059877--_E797-_NCTC_9529_T	693216	1074000	0.00488
Cronobacter_muytjensii-_-AJKU01000067--_ATCC_51329_T	g__413496	1159613	413496	0.020881
Cronobacter_condimenti-_-CAKW01000111--_1330_T	g__413496	1073999	413496	0.025051
Cronobacter_sakazakii-_-EF088379--_ATCC_29544_T	Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	28141	1159491	0.00277
Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	Cronobacter_sakazakii-_-EF088379--_ATCC_29544_T	1159491	28141	0.00277
g__1649295	Franconibacter_helveticus-_-DQ273688--_LMG_23732_T	1649295	357240	0.01367099999999999
Franconibacter_pulveris-_-DQ273684--_601/05_T	g__1649295	435910	1649295	0.016551
Franconibacter_daqui-_-KX865161--_DL503_T	g__1649295	2047724	1649295	0.014611
Franconibacter_helveticus-_-DQ273688--_LMG_23732_T	g__1649295	357240	1649295	0.01367099999999999
g__1335483	Shimwellia_blattae-_-CP001560--_DSM_4481_T	1335483	630626	0.008341
Shimwellia_blattae-_-CP001560--_DSM_4481_T	g__1335483	630626	1335483	0.008341
Shimwellia_pseudoproteus-_-FJ267523--_521_T	g__1335483	570012	1335483	0.013371
Tenebrionibacter_intestinalis-_-MW411192--_BIT-L3_T	g__2918836	2799638	2918836	2e-6
g__2918836	Tenebrionibacter_intestinalis-_-MW411192--_BIT-L3_T	2918836	2799638	2e-6
Tenebrionicola_larvae-_-MW680835--_YMB-R21_T	g__2943312	2815733	2943312	2e-6
g__2943312	Tenebrionicola_larvae-_-MW680835--_YMB-R21_T	2943312	2815733	2e-6
Erwinia_teleogrylli-_-KF500917--_SCU-B244_T	g__2943317	1384589	2943317	2e-6
g__2943317	Erwinia_teleogrylli-_-KF500917--_SCU-B244_T	2943317	1384589	2e-6
g__551	g__2100764	551	2100764	2e-6
g__2100764	g__551	2100764	551	2e-6
Erwinia_amylovora-_-AJ233410--_DSM_30165_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	552	465817	0.01809999999999999
Erwinia_piriflorinigrans-_-GQ405202--_CECT_7348_T	Erwinia_pyrifoliae-_-AB242880--_DSM12163_T	1161919	644651	0.02729999999999999
Erwinia_pyrifoliae-_-AB242880--_DSM12163_T	Erwinia_piriflorinigrans-_-GQ405202--_CECT_7348_T	644651	1161919	0.02729999999999999
Erwinia_uzenensis-_-AB546198--_YPPS951_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	717607	465817	0.02367
Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	Erwinia_amylovora-_-AJ233410--_DSM_30165_T	465817	552	0.01809999999999999
Mixta_tenebrionis-_-MK722097--_BIT-26_T	Erwinia_tasmaniensis-_-AM055716--_Et1/99_T	2562439	465817	0.04473999999999999
Erwinia_aphidicola-_-FN547376--_LMG_24877_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	68334	55211	0.00556999999999999
Erwinia_rhapontici-_-AJ233417--_DSM_4484_T	Erwinia_aphidicola-_-FN547376--_LMG_24877_T	55212	68334	0.00765
Erwinia_persicina-_-Z96086--_LMG_11254_T	Erwinia_aphidicola-_-FN547376--_LMG_24877_T	55211	68334	0.00556999999999999
Erwinia_billingiae-_-Y13249--_LMG_2613_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	182337	55211	0.02074999999999999
Erwinia_endophytica-_-LN624761--_BSTT30_T	Erwinia_persicina-_-Z96086--_LMG_11254_T	1563158	55211	0.02236
Pantoea_eucrina-_-EU216736--_LMG_2781_T	Pantoea_wallisii-_-JF295057--_LMG_26277_T	472693	1076551	0.0241
Pantoea_wallisii-_-JF295057--_LMG_26277_T	g__551	1076551	551	0.017881
Pantoea_wallisii-_-JF295057--_LMG_26277_T	g__2100764	1076551	2100764	0.017881
Pantoea_dispersa-_-DQ504305--_LMG2603_T	g__551	59814	551	0.018171
Pantoea_dispersa-_-DQ504305--_LMG2603_T	g__2100764	59814	2100764	0.018171
Pantoea_coffeiphila-_-KJ427829--_Ca04_T	g__551	1465635	551	0.00904099999999999
Pantoea_coffeiphila-_-KJ427829--_Ca04_T	g__2100764	1465635	2100764	0.00904099999999999
Erwinia_mallotivora-_-AJ233414--_DSM_4565_T	Erwinia_psidii-_-JQ809696--_LMG_7039_T	69222	69224	0.02499
Erwinia_psidii-_-JQ809696--_LMG_7039_T	g__551	69224	551	0.019561
Erwinia_psidii-_-JQ809696--_LMG_7039_T	g__2100764	69224	2100764	0.019561
Erwinia_tracheiphila-_-Y13250--_LMG_2906-T_T	g__551	65700	551	0.038391
Erwinia_tracheiphila-_-Y13250--_LMG_2906-T_T	g__2100764	65700	2100764	0.038391
Mixta_intestinalis-_-KP326384--_29Y89B_T	Mixta_theicola-_-AB907776--_QC88-366_T	1615494	1458355	0.01944
Mixta_theicola-_-AB907776--_QC88-366_T	Mixta_intestinalis-_-KP326384--_29Y89B_T	1458355	1615494	0.01944
Erwinia_oleae-_-GU810925--_DAPP-PG_531_T	Mixta_theicola-_-AB907776--_QC88-366_T	796334	1458355	0.04661
g__1780190	Izhakiella_australiensis-_-KY744694--_D4N98_T	1780190	1926881	0.014561
Izhakiella_australiensis-_-KY744694--_D4N98_T	g__1780190	1926881	1780190	0.014561
Izhakiella_capsodis-_-KF436763--_N6PO6_T	g__1780190	1367852	1780190	0.020821
Duffyella_gerundensis-_-FJ611848--_EM595_T	g__3026546	1619313	3026546	2e-6
g__3026546	Duffyella_gerundensis-_-FJ611848--_EM595_T	3026546	1619313	2e-6
Mixta_calida-_-GQ367478--_1400/07_T	Mixta_gaviniae-_-GQ367483--_A18/07_T	665913	665914	0.00972
Mixta_gaviniae-_-GQ367483--_A18/07_T	Mixta_calida-_-GQ367478--_1400/07_T	665914	665913	0.00972
Pantoea_piersonii-_-MG923525--_IIIF1SW-P2_T	Erwinia_phyllosphaerae-_-MZ457073--_CMYE1_T	2364647	2853256	0.02044
Erwinia_phyllosphaerae-_-MZ457073--_CMYE1_T	Pantoea_piersonii-_-MG923525--_IIIF1SW-P2_T	2853256	2364647	0.02044
Winslowiella_iniecta-_-KM870781--_B120_T	Winslowiella_toletana-_-FR870447--_CECT_5263_T	1560201	92490	0.03059
Winslowiella_toletana-_-FR870447--_CECT_5263_T	Winslowiella_arboricola-_-OP422451--_BAC15a-03bT	92490	2978220	0.012371
Winslowiella_toletana-_-FR870447--_CECT_5263_T	g__2997349	92490	2997349	0.012371
Winslowiella_arboricola-_-OP422451--_BAC15a-03bT	g__2997349	2978220	2997349	2e-6
g__2997349	Winslowiella_arboricola-_-OP422451--_BAC15a-03bT	2997349	2978220	2e-6
Erwinia_typographi-_-GU166291--_Y1_T	Winslowiella_iniecta-_-KM870781--_B120_T	371042	1560201	0.04016
Pantoea_cypripedii-_-AJ233413--_DSM_3873_T	g__551	55209	551	0.013921
Pantoea_cypripedii-_-AJ233413--_DSM_3873_T	g__2100764	55209	2100764	0.013921
Enterobacter_hormaechei_subsp._hormaechei-_-AJ508302--_CIP_103441_T	Enterobacter_quasihormaechei-_-MK567958--_WCHEs120003_T	888063	2529382	0.01264
Enterobacter_quasihormaechei-_-MK567958--_WCHEs120003_T	Enterobacter_hormaechei_subsp._xiangfangensis-_-HF679035--_10-17_T	2529382	1296536	0.00209
Enterobacter_hormaechei_subsp._xiangfangensis-_-HF679035--_10-17_T	Enterobacter_quasihormaechei-_-MK567958--_WCHEs120003_T	1296536	2529382	0.00209
g__1330546	Enterobacter_hormaechei_subsp._xiangfangensis-_-HF679035--_10-17_T	1330546	1296536	0.013361
Pluralibacter_gergoviae-_-AB004748--_JCM1234_T	g__1330546	1354260	1330546	0.022251
Pluralibacter_pyrinus-_-AJ010486--_KCTC2520_T	g__1330546	81476	1330546	0.019501
Enterobacter_hormaechei_subsp._hoffmannii-_-CP017186--_DSM_14563_n_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	1812934	299766	0.00418
Enterobacter_hormaechei_subsp._oharae-_-AJ853889--_EN-314_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	301102	299766	0.00209
Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	Enterobacter_hormaechei_subsp._oharae-_-AJ853889--_EN-314_T	299766	301102	0.00209
Enterobacter_hormaechei_subsp._xiangfangensis-_-CP017183--_LMG27195_n_T	Enterobacter_hormaechei_subsp._steigerwaltii-_-AJ853890--_EN-562_T	1296536	299766	0.00279
Pseudescherichia_vulneris-_-AB681776--_NBRC_102420_T	g__2055880	566	2055880	2e-6
g__2055880	Pseudescherichia_vulneris-_-AB681776--_NBRC_102420_T	2055880	566	2e-6
Enterobacter_nematophilus-_-OP818089--_E-TC7_/type_materialtype_strain_of_Enterobacter_nematophilusT	Enterobacter_bugandensis-_-HQ122932--_247BMC_T	2994648	881260	0.0021
Enterobacter_bugandensis-_-HQ122932--_247BMC_T	Enterobacter_nematophilus-_-OP818089--_E-TC7_/type_materialtype_strain_of_Enterobacter_nematophilusT	881260	2994648	0.0021
Enterobacter_cancerogenus-_-Z96078--_LMG_2693_T	Enterobacter_dykesii-_-VTTY00000000--_E1_T	69218	2797506	0.00417
Enterobacter_dykesii-_-VTTY00000000--_E1_T	Enterobacter_cancerogenus-_-Z96078--_LMG_2693_T	2797506	69218	0.00417
Enterobacter_huaxiensis-_-MK049964--_WCHEn090008_T	Enterobacter_cancerogenus-_-Z96078--_LMG_2693_T	2494702	69218	0.00713
Leclercia_adecarboxylata-_-AB681872--_NBRC_102595_T	Enterobacter_ludwigii-_-AJ853891--_EN-119_=_DSMZ_16688_=_CIP_108491_T	83655	299767	0.00695
Enterobacter_ludwigii-_-AJ853891--_EN-119_=_DSMZ_16688_=_CIP_108491_T	Leclercia_adecarboxylata-_-AB681872--_NBRC_102595_T	299767	83655	0.00695
Enterobacter_wuhouensis-_-MK567957--_WCHEs120002_T	Enterobacter_ludwigii-_-AJ853891--_EN-119_=_DSMZ_16688_=_CIP_108491_T	2529381	299767	0.00905
Enterobacter_chuandaensis-_-MK049966--_WCHEn090028_T	Enterobacter_wuhouensis-_-MK567957--_WCHEs120002_T	2497875	2529381	0.00974
Enterobacter_quasiroggenkampii-_-LFDQ02000000--_WCHECL1060_T	Enterobacter_mori-_-EU721605--_R18-2_T	2497436	980518	0.01157
Enterobacter_mori-_-EU721605--_R18-2_T	Enterobacter_quasimori-_-RXRX01000000--_WCHEM090044_T	980518	2838947	0.01017
Enterobacter_quasimori-_-RXRX01000000--_WCHEM090044_T	Enterobacter_mori-_-EU721605--_R18-2_T	2838947	980518	0.01017
g__158483	Cedecea_lapagei-_-KY797643--_DSM_4587_T	158483	158823	8.410000000000001e-4
Cedecea_neteri-_-AB086230--_GTC1717_T	g__158483	158822	158483	0.007131
Cedecea_davisae-_-ATDT01000040--_DSM_4568_T	g__158483	566551	158483	0.00972099999999999
Cedecea_lapagei-_-KY797643--_DSM_4587_T	g__158483	158823	158483	8.410000000000001e-4
Dryocola_clanedunensis-_-OM971055--_H11S18_/type_materialtype_strain_of_Dryocola_clanedunensisT	g__158483	2925396	158483	0.008931
Enterobacter_soli-_-GU814270--_LF7_T	g__158483	1354262	158483	0.012561
Enterobacter_vonholyi-_-VTUC01000000--_HHU_13199_E13_T	Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	2797505	1812935	0.01322
Enterobacter_asburiae-_-AB004744--_JCM6051_T	Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	61645	1812935	0.00973
Enterobacter_roggenkampii-_-CP017184--_DSM_16690_n_T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	1812935	2494701	0.00904
Enterobacter_sichuanensis-_-MG832788--_WCHECL1597_T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	2071710	2494701	0.00486
Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	Enterobacter_sichuanensis-_-MG832788--_WCHECL1597_T	2494701	2071710	0.00486
Silvania_confinis-_-OM987254--_H4N4T	Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	2926470	2494701	0.00869
Leclercia_tamurae-_-OM987255--_H6S3T	g__579	2926467	579	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__3021684	2926467	3021684	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__3016631	2926467	3016631	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__83654	2926467	83654	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__570	2926467	570	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__547	2926467	547	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__544	2926467	544	0.009411
Leclercia_tamurae-_-OM987255--_H6S3T	g__53335	2926467	53335	0.009411
Citrobacter_braakii-_-AF025368--_CDC_80-58_T	Citrobacter_murliniae-_-AF025369--_CDC_2970-59_T	57706	67829	0.00347
Citrobacter_murliniae-_-AF025369--_CDC_2970-59_T	Citrobacter_braakii-_-AF025368--_CDC_80-58_T	67829	57706	0.00347
Citrobacter_freundii-_-AJ233408--_DSM_30039_T	Citrobacter_cronae-_-MN548424--_Tue2_1_T	1006003	1748967	0.00763999999999999
Citrobacter_europaeus-_-LT615140--_97/79_-=CIP_106467-_T	Citrobacter_portucalensis-_-MVFY01000035--_A60_T	1914243	1639133	0.01111
Citrobacter_portucalensis-_-MVFY01000035--_A60_T	Citrobacter_cronae-_-MN548424--_Tue2_1_T	1639133	1748967	0.00833999999999999
Citrobacter_meridianamericanus-_-ON890426--_BR102T	Citrobacter_portucalensis-_-MVFY01000035--_A60_T	2894201	1639133	0.00903
